品类,月份,库存量
category21,2023年1月,4411095
category225,2023年1月,2966388
category42,2023年1月,2354761
category141,2023年1月,2260125
category254,2023年1月,1975639
category209,2023年1月,1326066
category137,2023年1月,1052907
category153,2023年1月,1035659
category20,2023年1月,860071
category276,2023年1月,842452
category2,2023年1月,790470
category40,2023年1月,716685
category87,2023年1月,707225
category102,2023年1月,705287
category197,2023年1月,657185
category65,2023年1月,628789
category164,2023年1月,578676
category308,2023年1月,565508
category60,2023年1月,565141
category130,2023年1月,559657
category279,2023年1月,554013
category192,2023年1月,523527
category243,2023年1月,460670
category245,2023年1月,418786
category280,2023年1月,392383
category263,2023年1月,374880
category109,2023年1月,362790
category30,2023年1月,357478
category259,2023年1月,340409
category242,2023年1月,336827
category166,2023年1月,332269
category48,2023年1月,326039
category86,2023年1月,291205
category95,2023年1月,288834
category200,2023年1月,269140
category299,2023年1月,268685
category313,2023年1月,264710
category237,2023年1月,262182
category61,2023年1月,257595
category283,2023年1月,228895
category32,2023年1月,226324
category195,2023年1月,225988
category128,2023年1月,225432
category15,2023年1月,215329
category63,2023年1月,212031
category77,2023年1月,203882
category104,2023年1月,202662
category303,2023年1月,202365
category12,2023年1月,198869
category282,2023年1月,184159
category185,2023年1月,183874
category262,2023年1月,179897
category188,2023年1月,174329
category266,2023年1月,173217
category223,2023年1月,163511
category186,2023年1月,163045
category161,2023年1月,162054
category250,2023年1月,160677
category191,2023年1月,152640
category286,2023年1月,152583
category203,2023年1月,152318
category58,2023年1月,149218
category325,2023年1月,145123
category17,2023年1月,142357
category240,2023年1月,140398
category285,2023年1月,139308
category97,2023年1月,135562
category47,2023年1月,133409
category198,2023年1月,132092
category44,2023年1月,130768
category29,2023年1月,126317
category316,2023年1月,124716
category151,2023年1月,124577
category89,2023年1月,122916
category190,2023年1月,119339
category247,2023年1月,117860
category56,2023年1月,110434
category124,2023年1月,109017
category93,2023年1月,108908
category62,2023年1月,108843
category171,2023年1月,106269
category129,2023年1月,103809
category273,2023年1月,101029
category160,2023年1月,98867
category35,2023年1月,98321
category16,2023年1月,97513
category135,2023年1月,92026
category154,2023年1月,91426
category72,2023年1月,88864
category196,2023年1月,88807
category236,2023年1月,88647
category253,2023年1月,86133
category248,2023年1月,85152
category51,2023年1月,83902
category169,2023年1月,83492
category103,2023年1月,82848
category275,2023年1月,82794
category232,2023年1月,82450
category267,2023年1月,81740
category24,2023年1月,79698
category241,2023年1月,78239
category226,2023年1月,77611
category152,2023年1月,77007
category80,2023年1月,76532
category143,2023年1月,73511
category121,2023年1月,73107
category71,2023年1月,70576
category297,2023年1月,70138
category107,2023年1月,69639
category165,2023年1月,69362
category146,2023年1月,69327
category307,2023年1月,69204
category45,2023年1月,65606
category321,2023年1月,64799
category73,2023年1月,63935
category136,2023年1月,62791
category208,2023年1月,62390
category184,2023年1月,62291
category122,2023年1月,61581
category173,2023年1月,60214
category233,2023年1月,59219
category46,2023年1月,58723
category138,2023年1月,58290
category33,2023年1月,58267
category281,2023年1月,57756
category322,2023年1月,56404
category293,2023年1月,55898
category26,2023年1月,52143
category79,2023年1月,49584
category139,2023年1月,49248
category287,2023年1月,48738
category85,2023年1月,46817
category8,2023年1月,46728
category324,2023年1月,44751
category296,2023年1月,44237
category183,2023年1月,42798
category13,2023年1月,41053
category118,2023年1月,40004
category28,2023年1月,39010
category49,2023年1月,34449
category38,2023年1月,33987
category239,2023年1月,33308
category43,2023年1月,32778
category88,2023年1月,32050
category27,2023年1月,31956
category295,2023年1月,31659
category114,2023年1月,30993
category94,2023年1月,28268
category215,2023年1月,27181
category258,2023年1月,26948
category163,2023年1月,25792
category70,2023年1月,25709
category227,2023年1月,25330
category256,2023年1月,24814
category105,2023年1月,24344
category331,2023年1月,24058
category300,2023年1月,23839
category205,2023年1月,23754
category116,2023年1月,22874
category229,2023年1月,22528
category140,2023年1月,22456
category284,2023年1月,22353
category228,2023年1月,21831
category156,2023年1月,20683
category238,2023年1月,20443
category318,2023年1月,19646
category172,2023年1月,18076
category271,2023年1月,16922
category123,2023年1月,16908
category194,2023年1月,16761
category214,2023年1月,16728
category268,2023年1月,16405
category261,2023年1月,16274
category257,2023年1月,15829
category182,2023年1月,15782
category100,2023年1月,15193
category189,2023年1月,14992
category108,2023年1月,14634
category127,2023年1月,14603
category157,2023年1月,14080
category53,2023年1月,14043
category25,2023年1月,13510
category176,2023年1月,13480
category234,2023年1月,13372
category91,2023年1月,12941
category323,2023年1月,12636
category59,2023年1月,12544
category90,2023年1月,12013
category305,2023年1月,11856
category18,2023年1月,11092
category78,2023年1月,11036
category64,2023年1月,10880
category132,2023年1月,10730
category272,2023年1月,10604
category158,2023年1月,10532
category22,2023年1月,10401
category178,2023年1月,9951
category144,2023年1月,9928
category311,2023年1月,9696
category11,2023年1月,9688
category76,2023年1月,9519
category52,2023年1月,9402
category14,2023年1月,8986
category201,2023年1月,8843
category211,2023年1月,8726
category119,2023年1月,8648
category231,2023年1月,8516
category246,2023年1月,8438
category74,2023年1月,8324
category174,2023年1月,8123
category264,2023年1月,7990
category147,2023年1月,7653
category218,2023年1月,7510
category110,2023年1月,7283
category177,2023年1月,7100
category75,2023年1月,6968
category270,2023年1月,6764
category4,2023年1月,6597
category222,2023年1月,6571
category1,2023年1月,6326
category111,2023年1月,6184
category224,2023年1月,6054
category204,2023年1月,6019
category34,2023年1月,6016
category333,2023年1月,6002
category292,2023年1月,5931
category277,2023年1月,5815
category155,2023年1月,5748
category202,2023年1月,5527
category252,2023年1月,5425
category290,2023年1月,5319
category150,2023年1月,5193
category19,2023年1月,5193
category306,2023年1月,5082
category312,2023年1月,4958
category341,2023年1月,4925
category320,2023年1月,4866
category175,2023年1月,4838
category314,2023年1月,4795
category66,2023年1月,4719
category125,2023年1月,4592
category255,2023年1月,4554
category145,2023年1月,4474
category212,2023年1月,4346
category168,2023年1月,4071
category112,2023年1月,4047
category347,2023年1月,3986
category101,2023年1月,3984
category98,2023年1月,3967
category5,2023年1月,3951
category117,2023年1月,3937
category39,2023年1月,3883
category251,2023年1月,3786
category340,2023年1月,3646
category67,2023年1月,3485
category230,2023年1月,3462
category3,2023年1月,3408
category217,2023年1月,3405
category301,2023年1月,3238
category302,2023年1月,3189
category23,2023年1月,3136
category120,2023年1月,3126
category180,2023年1月,3104
category278,2023年1月,2985
category92,2023年1月,2923
category289,2023年1月,2390
category265,2023年1月,2199
category342,2023年1月,2188
category133,2023年1月,2182
category113,2023年1月,2136
category346,2023年1月,2043
category99,2023年1月,1974
category126,2023年1月,1893
category81,2023年1月,1888
category220,2023年1月,1886
category350,2023年1月,1838
category106,2023年1月,1834
category68,2023年1月,1662
category179,2023年1月,1485
category96,2023年1月,1477
category298,2023年1月,1467
category335,2023年1月,1432
category199,2023年1月,1327
category310,2023年1月,1300
category148,2023年1月,1258
category162,2023年1月,1240
category291,2023年1月,1176
category206,2023年1月,1115
category269,2023年1月,1025
category57,2023年1月,988
category69,2023年1月,963
category319,2023年1月,834
category131,2023年1月,665
category181,2023年1月,651
category142,2023年1月,628
category41,2023年1月,596
category50,2023年1月,591
category235,2023年1月,585
category309,2023年1月,483
category349,2023年1月,481
category134,2023年1月,457
category6,2023年1月,442
category244,2023年1月,420
category55,2023年1月,416
category54,2023年1月,402
category329,2023年1月,400
category36,2023年1月,389
category344,2023年1月,386
category294,2023年1月,385
category149,2023年1月,359
category315,2023年1月,342
category193,2023年1月,304
category9,2023年1月,289
category328,2023年1月,277
category213,2023年1月,240
category317,2023年1月,232
category207,2023年1月,208
category338,2023年1月,202
category221,2023年1月,195
category31,2023年1月,165
category219,2023年1月,161
category216,2023年1月,144
category37,2023年1月,142
category115,2023年1月,124
category327,2023年1月,123
category343,2023年1月,122
category187,2023年1月,95
category334,2023年1月,70
category330,2023年1月,64
category167,2023年1月,63
category82,2023年1月,62
category83,2023年1月,62
category337,2023年1月,59
category339,2023年1月,52
category326,2023年1月,51
category260,2023年1月,48
category249,2023年1月,34
category170,2023年1月,31
category159,2023年1月,25
category274,2023年1月,18
category7,2023年1月,16
category345,2023年1月,14
category336,2023年1月,12
category348,2023年1月,12
category288,2023年1月,11
category10,2023年1月,9
category332,2023年1月,7
category304,2023年1月,2
category210,2023年1月,1
category84,2023年2月,3431261
category225,2023年2月,2890619
category21,2023年2月,2651531
category42,2023年2月,2349618
category141,2023年2月,1731460
category254,2023年2月,1565495
category209,2023年2月,1273423
category137,2023年2月,1066015
category153,2023年2月,913943
category20,2023年2月,770605
category40,2023年2月,739347
category197,2023年2月,717202
category2,2023年2月,699126
category308,2023年2月,671128
category130,2023年2月,655199
category276,2023年2月,637785
category164,2023年2月,599986
category65,2023年2月,585978
category102,2023年2月,576453
category87,2023年2月,539584
category60,2023年2月,530045
category279,2023年2月,510534
category243,2023年2月,404188
category109,2023年2月,371221
category245,2023年2月,369240
category263,2023年2月,358996
category30,2023年2月,322427
category166,2023年2月,318594
category280,2023年2月,307135
category259,2023年2月,304729
category86,2023年2月,279656
category95,2023年2月,270819
category237,2023年2月,263018
category299,2023年2月,260797
category48,2023年2月,252358
category32,2023年2月,245278
category242,2023年2月,237744
category303,2023年2月,224622
category44,2023年2月,220917
category128,2023年2月,213641
category185,2023年2月,200039
category63,2023年2月,199950
category200,2023年2月,199926
category313,2023年2月,191451
category15,2023年2月,190842
category195,2023年2月,189946
category61,2023年2月,189900
category77,2023年2月,188778
category192,2023年2月,187028
category283,2023年2月,184173
category58,2023年2月,164451
category282,2023年2月,164370
category191,2023年2月,162505
category223,2023年2月,160354
category262,2023年2月,160079
category104,2023年2月,158789
category250,2023年2月,155704
category286,2023年2月,150134
category266,2023年2月,148553
category29,2023年2月,137328
category17,2023年2月,130127
category240,2023年2月,129451
category186,2023年2月,129379
category47,2023年2月,129297
category203,2023年2月,126469
category316,2023年2月,125996
category188,2023年2月,122964
category12,2023年2月,122945
category151,2023年2月,117729
category97,2023年2月,115287
category247,2023年2月,114798
category161,2023年2月,110793
category325,2023年2月,110316
category285,2023年2月,110145
category248,2023年2月,103791
category89,2023年2月,100702
category160,2023年2月,99852
category93,2023年2月,99211
category190,2023年2月,92567
category62,2023年2月,90994
category16,2023年2月,90909
category198,2023年2月,90790
category169,2023年2月,90516
category51,2023年2月,89265
category135,2023年2月,88765
category273,2023年2月,85711
category253,2023年2月,83921
category154,2023年2月,83337
category35,2023年2月,82994
category129,2023年2月,82729
category196,2023年2月,81906
category72,2023年2月,81455
category267,2023年2月,80252
category236,2023年2月,78828
category232,2023年2月,76368
category56,2023年2月,75816
category107,2023年2月,75051
category226,2023年2月,70649
category307,2023年2月,69423
category80,2023年2月,67900
category143,2023年2月,67813
category24,2023年2月,67693
category71,2023年2月,67486
category139,2023年2月,67406
category275,2023年2月,66963
category73,2023年2月,65033
category124,2023年2月,62838
category165,2023年2月,62039
category321,2023年2月,61329
category121,2023年2月,61220
category103,2023年2月,60542
category241,2023年2月,60371
category233,2023年2月,60276
category171,2023年2月,60146
category146,2023年2月,59841
category136,2023年2月,59719
category152,2023年2月,59435
category45,2023年2月,59229
category297,2023年2月,58646
category33,2023年2月,57032
category293,2023年2月,56904
category46,2023年2月,55661
category322,2023年2月,54851
category138,2023年2月,54218
category173,2023年2月,54091
category208,2023年2月,50405
category122,2023年2月,49804
category281,2023年2月,49325
category85,2023年2月,46895
category8,2023年2月,43692
category26,2023年2月,43430
category184,2023年2月,42861
category324,2023年2月,42138
category13,2023年2月,39624
category296,2023年2月,39587
category38,2023年2月,39393
category28,2023年2月,38060
category183,2023年2月,37403
category287,2023年2月,35055
category49,2023年2月,33576
category88,2023年2月,31000
category239,2023年2月,30479
category295,2023年2月,30122
category27,2023年2月,28955
category70,2023年2月,28415
category79,2023年2月,28217
category118,2023年2月,27962
category94,2023年2月,27952
category163,2023年2月,27281
category114,2023年2月,26436
category116,2023年2月,26104
category43,2023年2月,24857
category105,2023年2月,24094
category256,2023年2月,23712
category205,2023年2月,23452
category229,2023年2月,23032
category215,2023年2月,21597
category140,2023年2月,19509
category258,2023年2月,19328
category318,2023年2月,19291
category53,2023年2月,18208
category284,2023年2月,18110
category331,2023年2月,16617
category238,2023年2月,16545
category300,2023年2月,16289
category227,2023年2月,15965
category261,2023年2月,15153
category268,2023年2月,15017
category214,2023年2月,14868
category228,2023年2月,14446
category194,2023年2月,13899
category127,2023年2月,13786
category123,2023年2月,13662
category257,2023年2月,13487
category189,2023年2月,13244
category91,2023年2月,12806
category204,2023年2月,12326
category25,2023年2月,12094
category90,2023年2月,11913
category59,2023年2月,11875
category157,2023年2月,11821
category311,2023年2月,11615
category176,2023年2月,11143
category271,2023年2月,10860
category272,2023年2月,10604
category22,2023年2月,10175
category156,2023年2月,9664
category305,2023年2月,9633
category108,2023年2月,9569
category172,2023年2月,9565
category11,2023年2月,9535
category78,2023年2月,9081
category234,2023年2月,8767
category211,2023年2月,8648
category202,2023年2月,8364
category158,2023年2月,8356
category100,2023年2月,8277
category218,2023年2月,8090
category52,2023年2月,8051
category64,2023年2月,8036
category18,2023年2月,7996
category201,2023年2月,7900
category182,2023年2月,7851
category14,2023年2月,7761
category76,2023年2月,7688
category174,2023年2月,6910
category347,2023年2月,6863
category323,2023年2月,6813
category4,2023年2月,6598
category132,2023年2月,6310
category178,2023年2月,6302
category74,2023年2月,6260
category246,2023年2月,6246
category147,2023年2月,6134
category333,2023年2月,6002
category34,2023年2月,5759
category1,2023年2月,5718
category66,2023年2月,5646
category75,2023年2月,5622
category224,2023年2月,5586
category270,2023年2月,5411
category119,2023年2月,5391
category177,2023年2月,5295
category144,2023年2月,5294
category117,2023年2月,5123
category222,2023年2月,5001
category110,2023年2月,4877
category150,2023年2月,4866
category320,2023年2月,4631
category252,2023年2月,4594
category292,2023年2月,4469
category212,2023年2月,4423
category290,2023年2月,4302
category175,2023年2月,4265
category111,2023年2月,4230
category125,2023年2月,4194
category277,2023年2月,4184
category92,2023年2月,4103
category306,2023年2月,3970
category98,2023年2月,3948
category23,2023年2月,3922
category155,2023年2月,3833
category5,2023年2月,3812
category3,2023年2月,3761
category168,2023年2月,3734
category39,2023年2月,3730
category217,2023年2月,3697
category231,2023年2月,3445
category67,2023年2月,3392
category264,2023年2月,3296
category180,2023年2月,3291
category19,2023年2月,3171
category230,2023年2月,3078
category120,2023年2月,3044
category145,2023年2月,2886
category341,2023年2月,2693
category312,2023年2月,2653
category251,2023年2月,2546
category278,2023年2月,2515
category101,2023年2月,2391
category302,2023年2月,2331
category255,2023年2月,2321
category314,2023年2月,2264
category301,2023年2月,2229
category113,2023年2月,2206
category340,2023年2月,2201
category99,2023年2月,2133
category126,2023年2月,2087
category346,2023年2月,1921
category179,2023年2月,1869
category133,2023年2月,1858
category220,2023年2月,1776
category131,2023年2月,1634
category298,2023年2月,1578
category265,2023年2月,1464
category96,2023年2月,1392
category112,2023年2月,1327
category310,2023年2月,1288
category106,2023年2月,1236
category199,2023年2月,1206
category350,2023年2月,1119
category269,2023年2月,1086
category69,2023年2月,987
category68,2023年2月,939
category206,2023年2月,928
category289,2023年2月,815
category81,2023年2月,809
category162,2023年2月,798
category335,2023年2月,755
category319,2023年2月,689
category142,2023年2月,637
category181,2023年2月,635
category235,2023年2月,604
category149,2023年2月,574
category291,2023年2月,492
category57,2023年2月,483
category50,2023年2月,461
category134,2023年2月,458
category55,2023年2月,408
category213,2023年2月,407
category244,2023年2月,403
category329,2023年2月,401
category328,2023年2月,398
category349,2023年2月,360
category10,2023年2月,359
category6,2023年2月,338
category41,2023年2月,332
category193,2023年2月,323
category344,2023年2月,288
category294,2023年2月,272
category327,2023年2月,268
category36,2023年2月,252
category315,2023年2月,225
category317,2023年2月,196
category167,2023年2月,185
category9,2023年2月,183
category148,2023年2月,177
category31,2023年2月,162
category338,2023年2月,159
category219,2023年2月,155
category221,2023年2月,153
category343,2023年2月,124
category309,2023年2月,119
category207,2023年2月,116
category37,2023年2月,113
category216,2023年2月,109
category342,2023年2月,105
category115,2023年2月,96
category337,2023年2月,95
category54,2023年2月,82
category82,2023年2月,69
category83,2023年2月,67
category187,2023年2月,59
category334,2023年2月,56
category339,2023年2月,51
category326,2023年2月,45
category260,2023年2月,42
category210,2023年2月,37
category330,2023年2月,35
category274,2023年2月,34
category249,2023年2月,34
category159,2023年2月,25
category7,2023年2月,15
category345,2023年2月,13
category336,2023年2月,12
category348,2023年2月,11
category288,2023年2月,11
category170,2023年2月,10
category332,2023年2月,6
category304,2023年2月,2
category225,2023年3月,3133157
category84,2023年3月,2660037
category42,2023年3月,2064744
category21,2023年3月,2062100
category141,2023年3月,1653061
category254,2023年3月,1404770
category209,2023年3月,1256435
category137,2023年3月,841817
category40,2023年3月,821467
category308,2023年3月,659795
category2,2023年3月,650986
category276,2023年3月,646711
category153,2023年3月,645417
category20,2023年3月,638687
category197,2023年3月,628336
category279,2023年3月,567438
category65,2023年3月,547422
category60,2023年3月,519570
category102,2023年3月,489520
category164,2023年3月,444684
category87,2023年3月,439286
category130,2023年3月,435545
category109,2023年3月,390659
category259,2023年3月,340978
category263,2023年3月,336751
category245,2023年3月,333912
category243,2023年3月,325284
category280,2023年3月,308725
category237,2023年3月,300115
category30,2023年3月,298936
category166,2023年3月,284688
category48,2023年3月,281033
category95,2023年3月,279512
category86,2023年3月,276605
category32,2023年3月,271918
category299,2023年3月,239619
category61,2023年3月,211985
category313,2023年3月,199727
category104,2023年3月,198433
category15,2023年3月,197470
category195,2023年3月,194885
category44,2023年3月,190068
category242,2023年3月,188340
category283,2023年3月,184744
category128,2023年3月,182891
category200,2023年3月,179818
category223,2023年3月,176022
category262,2023年3月,171108
category185,2023年3月,161280
category188,2023年3月,156513
category77,2023年3月,154237
category303,2023年3月,153835
category286,2023年3月,148141
category186,2023年3月,143669
category203,2023年3月,141942
category191,2023年3月,141826
category240,2023年3月,137956
category63,2023年3月,136641
category17,2023年3月,133959
category47,2023年3月,131668
category282,2023年3月,129256
category266,2023年3月,128340
category58,2023年3月,125860
category151,2023年3月,125703
category285,2023年3月,125333
category316,2023年3月,123661
category89,2023年3月,123657
category97,2023年3月,122596
category325,2023年3月,121201
category161,2023年3月,120451
category62,2023年3月,118261
category250,2023年3月,113202
category72,2023年3月,111815
category29,2023年3月,111332
category247,2023年3月,110102
category253,2023年3月,103189
category12,2023年3月,101330
category129,2023年3月,96786
category169,2023年3月,95143
category190,2023年3月,93486
category196,2023年3月,91061
category135,2023年3月,90813
category93,2023年3月,89405
category275,2023年3月,87733
category16,2023年3月,87479
category226,2023年3月,83949
category35,2023年3月,83426
category154,2023年3月,83395
category232,2023年3月,80966
category24,2023年3月,79433
category267,2023年3月,79086
category192,2023年3月,78899
category248,2023年3月,78255
category160,2023年3月,77097
category107,2023年3月,76425
category56,2023年3月,74805
category152,2023年3月,74638
category273,2023年3月,73575
category80,2023年3月,72757
category171,2023年3月,72603
category236,2023年3月,70829
category51,2023年3月,69498
category121,2023年3月,69455
category183,2023年3月,67801
category124,2023年3月,67332
category103,2023年3月,66941
category307,2023年3月,66017
category293,2023年3月,65899
category165,2023年3月,64985
category281,2023年3月,63969
category198,2023年3月,63886
category33,2023年3月,63333
category73,2023年3月,63129
category184,2023年3月,61536
category139,2023年3月,60765
category287,2023年3月,59786
category136,2023年3月,57846
category45,2023年3月,56507
category146,2023年3月,55835
category46,2023年3月,55671
category143,2023年3月,54625
category173,2023年3月,54193
category38,2023年3月,54172
category297,2023年3月,54054
category138,2023年3月,53681
category241,2023年3月,53479
category322,2023年3月,51410
category321,2023年3月,50754
category85,2023年3月,47696
category71,2023年3月,46390
category26,2023年3月,45563
category8,2023年3月,45420
category233,2023年3月,44011
category208,2023年3月,43757
category324,2023年3月,43400
category122,2023年3月,40741
category296,2023年3月,39729
category13,2023年3月,37887
category118,2023年3月,35946
category28,2023年3月,35670
category49,2023年3月,34137
category70,2023年3月,31657
category88,2023年3月,29615
category239,2023年3月,29028
category229,2023年3月,28763
category27,2023年3月,27796
category94,2023年3月,27496
category258,2023年3月,26997
category43,2023年3月,26025
category114,2023年3月,25742
category140,2023年3月,25203
category295,2023年3月,25113
category105,2023年3月,24815
category79,2023年3月,24738
category331,2023年3月,24553
category205,2023年3月,24467
category163,2023年3月,24087
category228,2023年3月,24022
category215,2023年3月,23443
category256,2023年3月,23127
category300,2023年3月,22598
category268,2023年3月,22393
category116,2023年3月,19532
category156,2023年3月,19152
category318,2023年3月,19069
category194,2023年3月,18244
category257,2023年3月,17923
category261,2023年3月,17832
category238,2023年3月,17690
category108,2023年3月,16923
category227,2023年3月,15542
category59,2023年3月,15535
category53,2023年3月,15280
category127,2023年3月,14432
category214,2023年3月,14339
category311,2023年3月,13635
category123,2023年3月,13270
category271,2023年3月,12627
category91,2023年3月,12346
category284,2023年3月,12291
category176,2023年3月,12090
category25,2023年3月,11921
category172,2023年3月,11349
category178,2023年3月,11310
category90,2023年3月,11136
category100,2023年3月,11073
category64,2023年3月,10840
category305,2023年3月,10747
category204,2023年3月,10675
category272,2023年3月,10632
category52,2023年3月,9634
category157,2023年3月,9611
category255,2023年3月,9441
category158,2023年3月,9295
category22,2023年3月,9293
category78,2023年3月,9086
category201,2023年3月,8897
category11,2023年3月,8595
category202,2023年3月,8565
category246,2023年3月,8393
category211,2023年3月,8239
category18,2023年3月,7798
category224,2023年3月,7310
category218,2023年3月,7171
category34,2023年3月,7001
category74,2023年3月,6940
category264,2023年3月,6930
category14,2023年3月,6771
category117,2023年3月,6693
category4,2023年3月,6610
category76,2023年3月,6235
category110,2023年3月,6208
category234,2023年3月,6028
category174,2023年3月,6014
category333,2023年3月,6002
category252,2023年3月,5927
category1,2023年3月,5871
category222,2023年3月,5852
category189,2023年3月,5843
category320,2023年3月,5782
category75,2023年3月,5759
category19,2023年3月,5586
category3,2023年3月,5410
category277,2023年3月,5066
category144,2023年3月,5024
category147,2023年3月,4996
category132,2023年3月,4909
category39,2023年3月,4853
category119,2023年3月,4832
category177,2023年3月,4389
category290,2023年3月,4376
category155,2023年3月,4358
category125,2023年3月,4346
category347,2023年3月,4160
category270,2023年3月,4065
category292,2023年3月,4038
category98,2023年3月,3986
category217,2023年3月,3945
category302,2023年3月,3860
category112,2023年3月,3859
category23,2023年3月,3855
category5,2023年3月,3762
category323,2023年3月,3751
category168,2023年3月,3718
category150,2023年3月,3668
category212,2023年3月,3665
category145,2023年3月,3533
category231,2023年3月,3488
category67,2023年3月,3328
category66,2023年3月,3316
category101,2023年3月,3235
category306,2023年3月,3193
category301,2023年3月,2822
category111,2023年3月,2764
category230,2023年3月,2739
category251,2023年3月,2637
category312,2023年3月,2625
category113,2023年3月,2435
category278,2023年3月,2362
category289,2023年3月,2330
category120,2023年3月,2314
category182,2023年3月,2308
category179,2023年3月,2298
category162,2023年3月,2259
category298,2023年3月,2245
category92,2023年3月,2221
category81,2023年3月,2199
category131,2023年3月,2156
category314,2023年3月,2097
category340,2023年3月,2066
category126,2023年3月,2061
category133,2023年3月,1890
category341,2023年3月,1869
category180,2023年3月,1860
category99,2023年3月,1789
category346,2023年3月,1711
category175,2023年3月,1634
category220,2023年3月,1485
category96,2023年3月,1469
category265,2023年3月,1443
category10,2023年3月,1373
category68,2023年3月,1360
category310,2023年3月,1272
category342,2023年3月,1247
category199,2023年3月,1245
category350,2023年3月,1107
category148,2023年3月,1059
category69,2023年3月,1031
category57,2023年3月,1021
category269,2023年3月,979
category206,2023年3月,945
category343,2023年3月,896
category36,2023年3月,883
category106,2023年3月,755
category142,2023年3月,720
category319,2023年3月,693
category291,2023年3月,669
category50,2023年3月,602
category207,2023年3月,598
category181,2023年3月,593
category309,2023年3月,588
category41,2023年3月,579
category187,2023年3月,558
category344,2023年3月,555
category55,2023年3月,490
category235,2023年3月,474
category328,2023年3月,465
category134,2023年3月,456
category329,2023年3月,401
category149,2023年3月,399
category335,2023年3月,398
category244,2023年3月,389
category213,2023年3月,388
category6,2023年3月,328
category221,2023年3月,304
category193,2023年3月,284
category54,2023年3月,276
category349,2023年3月,231
category315,2023年3月,228
category167,2023年3月,189
category327,2023年3月,170
category338,2023年3月,168
category37,2023年3月,164
category9,2023年3月,160
category219,2023年3月,160
category31,2023年3月,159
category115,2023年3月,155
category317,2023年3月,155
category334,2023年3月,126
category337,2023年3月,71
category216,2023年3月,67
category294,2023年3月,67
category83,2023年3月,65
category82,2023年3月,59
category339,2023年3月,49
category260,2023年3月,37
category249,2023年3月,34
category274,2023年3月,27
category170,2023年3月,26
category159,2023年3月,25
category330,2023年3月,19
category210,2023年3月,15
category7,2023年3月,14
category348,2023年3月,11
category288,2023年3月,11
category345,2023年3月,11
category336,2023年3月,9
category332,2023年3月,6
category304,2023年3月,2
category326,2023年3月,1
category225,2023年4月,2770633
