品类,月份,库存量
category84,2023年4月,2090701
category42,2023年4月,1763945
category21,2023年4月,1625555
category141,2023年4月,1566902
category209,2023年4月,1406055
category254,2023年4月,1305514
category137,2023年4月,813666
category197,2023年4月,656664
category276,2023年4月,637023
category308,2023年4月,613699
category20,2023年4月,559506
category2,2023年4月,558724
category40,2023年4月,538270
category279,2023年4月,503826
category60,2023年4月,501323
category65,2023年4月,467717
category164,2023年4月,465207
category153,2023年4月,462699
category87,2023年4月,400140
category109,2023年4月,396361
category102,2023年4月,384087
category259,2023年4月,382082
category130,2023年4月,365006
category263,2023年4月,310823
category95,2023年4月,308860
category243,2023年4月,305045
category245,2023年4月,288718
category166,2023年4月,283033
category30,2023年4月,274416
category32,2023年4月,274051
category104,2023年4月,269019
category237,2023年4月,259190
category86,2023年4月,256274
category280,2023年4月,244247
category299,2023年4月,241548
category313,2023年4月,239259
category61,2023年4月,234350
category226,2023年4月,228473
category283,2023年4月,203170
category48,2023年4月,199995
category262,2023年4月,191121
category200,2023年4月,187439
category15,2023年4月,183711
category128,2023年4月,182095
category242,2023年4月,176758
category195,2023年4月,175216
category286,2023年4月,174230
category44,2023年4月,169019
category77,2023年4月,165495
category240,2023年4月,164948
category186,2023年4月,156782
category188,2023年4月,156009
category185,2023年4月,151839
category266,2023年4月,151803
category47,2023年4月,147840
category89,2023年4月,143386
category191,2023年4月,141320
category223,2023年4月,140114
category316,2023年4月,138573
category183,2023年4月,135161
category129,2023年4月,133312
category17,2023年4月,133131
category325,2023年4月,126520
category161,2023年4月,126370
category282,2023年4月,125787
category247,2023年4月,125714
category203,2023年4月,123625
category285,2023年4月,120042
category29,2023年4月,119968
category303,2023年4月,115907
category62,2023年4月,114267
category58,2023年4月,112246
category124,2023年4月,110668
category190,2023年4月,108283
category151,2023年4月,107137
category250,2023年4月,105239
category72,2023年4月,105156
category196,2023年4月,104614
category253,2023年4月,100620
category16,2023年4月,100318
category169,2023年4月,98776
category135,2023年4月,97125
category12,2023年4月,93481
category232,2023年4月,92401
category152,2023年4月,92394
category24,2023年4月,91122
category97,2023年4月,90206
category107,2023年4月,87938
category93,2023年4月,83732
category275,2023年4月,82027
category154,2023年4月,80007
category80,2023年4月,79221
category248,2023年4月,77589
category267,2023年4月,77376
category33,2023年4月,75985
category287,2023年4月,75457
category73,2023年4月,75425
category165,2023年4月,75215
category121,2023年4月,70491
category56,2023年4月,70223
category160,2023年4月,67744
category38,2023年4月,67477
category236,2023年4月,66572
category293,2023年4月,65357
category307,2023年4月,64993
category138,2023年4月,64385
category273,2023年4月,64222
category45,2023年4月,63232
category103,2023年4月,63041
category184,2023年4月,61553
category146,2023年4月,60279
category35,2023年4月,60194
category51,2023年4月,59745
category46,2023年4月,59684
category192,2023年4月,59625
category136,2023年4月,58959
category143,2023年4月,57986
category322,2023年4月,57361
category281,2023年4月,56378
category198,2023年4月,56049
category297,2023年4月,55465
category85,2023年4月,52745
category173,2023年4月,51582
category241,2023年4月,50768
category208,2023年4月,48201
category26,2023年4月,47253
category324,2023年4月,46873
category122,2023年4月,44718
category296,2023年4月,44148
category321,2023年4月,44087
category8,2023年4月,43691
category171,2023年4月,43683
category139,2023年4月,43155
category118,2023年4月,42200
category28,2023年4月,40959
category13,2023年4月,39582
category114,2023年4月,39419
category71,2023年4月,38062
category233,2023年4月,38012
category49,2023年4月,35807
category63,2023年4月,35593
category229,2023年4月,33101
category256,2023年4月,30802
category27,2023年4月,30786
category88,2023年4月,30177
category295,2023年4月,29959
category258,2023年4月,29723
category140,2023年4月,27898
category70,2023年4月,27488
category163,2023年4月,27349
category331,2023年4月,27201
category105,2023年4月,27049
category215,2023年4月,25582
category79,2023年4月,25374
category43,2023年4月,23536
category94,2023年4月,23330
category228,2023年4月,23066
category205,2023年4月,21323
category239,2023年4月,21264
category300,2023年4月,19999
category268,2023年4月,19571
category156,2023年4月,19532
category59,2023年4月,19498
category318,2023年4月,19158
category257,2023年4月,19020
category127,2023年4月,18573
category194,2023年4月,17339
category108,2023年4月,16498
category261,2023年4月,16440
category53,2023年4月,16355
category178,2023年4月,16257
category214,2023年4月,15306
category116,2023年4月,15203
category227,2023年4月,15054
category271,2023年4月,14023
category238,2023年4月,13915
category123,2023年4月,13909
category18,2023年4月,13810
category176,2023年4月,13243
category25,2023年4月,12985
category284,2023年4月,12282
category91,2023年4月,12193
category189,2023年4月,11889
category90,2023年4月,11701
category64,2023年4月,11527
category100,2023年4月,11467
category52,2023年4月,11398
category255,2023年4月,11369
category78,2023年4月,10134
category22,2023年4月,10092
category305,2023年4月,9804
category74,2023年4月,9317
category157,2023年4月,9309
category204,2023年4月,9244
category272,2023年4月,8999
category264,2023年4月,8451
category172,2023年4月,8398
category277,2023年4月,8354
category311,2023年4月,8349
category211,2023年4月,8331
category202,2023年4月,8176
category75,2023年4月,8143
category158,2023年4月,8084
category252,2023年4月,7936
category246,2023年4月,7898
category4,2023年4月,7381
category34,2023年4月,7108
category224,2023年4月,7104
category110,2023年4月,6925
category201,2023年4月,6902
category218,2023年4月,6893
category3,2023年4月,6821
category14,2023年4月,6787
category1,2023年4月,6702
category320,2023年4月,6298
category117,2023年4月,6137
category174,2023年4月,6047
category222,2023年4月,6025
category333,2023年4月,6002
category76,2023年4月,5829
category19,2023年4月,5715
category347,2023年4月,5452
category39,2023年4月,5447
category145,2023年4月,5425
category125,2023年4月,5222
category150,2023年4月,5042
category11,2023年4月,4785
category217,2023年4月,4563
category147,2023年4月,4534
category212,2023年4月,4385
category302,2023年4月,4328
category155,2023年4月,4190
category98,2023年4月,4096
category168,2023年4月,3977
category177,2023年4月,3902
category23,2023年4月,3836
category306,2023年4月,3783
category269,2023年4月,3768
category119,2023年4月,3671
category234,2023年4月,3622
category101,2023年4月,3515
category270,2023年4月,3498
category199,2023年4月,3495
category111,2023年4月,3438
category290,2023年4月,3394
category231,2023年4月,3375
category132,2023年4月,3355
category67,2023年4月,3260
category144,2023年4月,3068
category230,2023年4月,2989
category112,2023年4月,2763
category113,2023年4月,2688
category133,2023年4月,2587
category120,2023年4月,2582
category312,2023年4月,2554
category131,2023年4月,2550
category289,2023年4月,2479
category126,2023年4月,2413
category301,2023年4月,2397
category5,2023年4月,2226
category99,2023年4月,2223
category182,2023年4月,2170
category340,2023年4月,2029
category278,2023年4月,2021
category342,2023年4月,1999
category265,2023年4月,1974
category292,2023年4月,1866
category179,2023年4月,1785
category207,2023年4月,1648
category41,2023年4月,1607
category314,2023年4月,1569
category92,2023年4月,1548
category298,2023年4月,1468
category81,2023年4月,1444
category323,2023年4月,1441
category96,2023年4月,1438
category175,2023年4月,1437
category220,2023年4月,1434
category68,2023年4月,1399
category344,2023年4月,1351
category57,2023年4月,1306
category310,2023年4月,1257
category69,2023年4月,1211
category10,2023年4月,1162
category66,2023年4月,1150
category148,2023年4月,1139
category335,2023年4月,1115
category106,2023年4月,1074
category341,2023年4月,1060
category251,2023年4月,973
category162,2023年4月,927
category206,2023年4月,916
category346,2023年4月,874
category221,2023年4月,862
category343,2023年4月,860
category350,2023年4月,842
category319,2023年4月,814
category36,2023年4月,805
category142,2023年4月,761
category309,2023年4月,697
category180,2023年4月,664
category291,2023年4月,612
category6,2023年4月,587
category235,2023年4月,585
category50,2023年4月,570
category181,2023年4月,548
category55,2023年4月,539
category213,2023年4月,522
category328,2023年4月,457
category134,2023年4月,454
category329,2023年4月,401
category244,2023年4月,373
category149,2023年4月,357
category294,2023年4月,320
category9,2023年4月,279
category349,2023年4月,277
category193,2023年4月,257
category170,2023年4月,217
category315,2023年4月,215
category334,2023年4月,189
category317,2023年4月,178
category338,2023年4月,160
category31,2023年4月,156
category219,2023年4月,155
category115,2023年4月,145
category327,2023年4月,131
category167,2023年4月,123
category54,2023年4月,111
category83,2023年4月,104
category37,2023年4月,101
category82,2023年4月,83
category337,2023年4月,83
category216,2023年4月,78
category187,2023年4月,71
category339,2023年4月,49
category260,2023年4月,37
category274,2023年4月,35
category249,2023年4月,34
category330,2023年4月,34
category210,2023年4月,29
category159,2023年4月,25
category348,2023年4月,11
category7,2023年4月,10
category288,2023年4月,10
category345,2023年4月,9
category332,2023年4月,5
category336,2023年4月,4
category304,2023年4月,2
category326,2023年4月,1
category225,2023年5月,2723946
category254,2023年5月,1882343
category84,2023年5月,1846707
category42,2023年5月,1588575
category21,2023年5月,1555956
category141,2023年5月,1486768
category209,2023年5月,1397745
category137,2023年5月,816840
category197,2023年5月,718364
category308,2023年5月,636002
category276,2023年5月,628926
category20,2023年5月,594010
category279,2023年5月,559447
category65,2023年5月,556434
category60,2023年5月,548783
category2,2023年5月,546004
category164,2023年5月,480942
category40,2023年5月,458676
category87,2023年5月,416896
category102,2023年5月,415691
category109,2023年5月,407561
category259,2023年5月,382565
category153,2023年5月,374592
category104,2023年5月,334712
category243,2023年5月,330165
category245,2023年5月,317630
category130,2023年5月,310524
category263,2023年5月,304142
category95,2023年5月,290498
category237,2023年5月,290438
category86,2023年5月,287201
category30,2023年5月,277904
category32,2023年5月,264789
category61,2023年5月,259234
category313,2023年5月,255835
category280,2023年5月,254841
category166,2023年5月,253352
category226,2023年5月,247267
category77,2023年5月,236917
category299,2023年5月,230010
category283,2023年5月,219104
category266,2023年5月,218844
category15,2023年5月,190230
category262,2023年5月,186887
category186,2023年5月,186348
category188,2023年5月,183065
category195,2023年5月,174830
category242,2023年5月,171686
category223,2023年5月,167725
category185,2023年5月,162830
category200,2023年5月,160603
category89,2023年5月,159302
category183,2023年5月,158934
category286,2023年5月,158798
category128,2023年5月,158451
category44,2023年5月,155663
category124,2023年5月,155076
category240,2023年5月,154745
category191,2023年5月,150519
category48,2023年5月,144809
category129,2023年5月,142020
category17,2023年5月,138291
category196,2023年5月,137922
category62,2023年5月,134679
category316,2023年5月,133239
category47,2023年5月,133055
category282,2023年5月,132605
category203,2023年5月,131725
category161,2023年5月,129973
category169,2023年5月,127734
category29,2023年5月,122236
category325,2023年5月,121309
category247,2023年5月,118589
category250,2023年5月,116081
category303,2023年5月,114949
category58,2023年5月,109597
category152,2023年5月,105674
category253,2023年5月,104911
category24,2023年5月,102778
category79,2023年5月,102635
category151,2023年5月,101933
category285,2023年5月,97790
category190,2023年5月,97607
category97,2023年5月,97486
category248,2023年5月,95454
category287,2023年5月,93132
category135,2023年5月,92442
category16,2023年5月,92125
category154,2023年5月,90357
category72,2023年5月,89138
category232,2023年5月,81339
category93,2023年5月,78269
category103,2023年5月,78111
category12,2023年5月,78068
category208,2023年5月,77221
category107,2023年5月,76070
category165,2023年5月,76046
category146,2023年5月,74032
category73,2023年5月,71273
category80,2023年5月,71250
category192,2023年5月,71224
category273,2023年5月,69526
category121,2023年5月,69047
category38,2023年5月,68159
category33,2023年5月,66420
category307,2023年5月,66105
category56,2023年5月,64308
category236,2023年5月,63396
category293,2023年5月,63336
category267,2023年5月,61880
category281,2023年5月,59867
category275,2023年5月,58500
category160,2023年5月,58036
category46,2023年5月,57554
category138,2023年5月,57449
category136,2023年5月,57144
category297,2023年5月,57076
category45,2023年5月,56161
category184,2023年5月,55222
category122,2023年5月,53901
category26,2023年5月,53832
category171,2023年5月,53455
category322,2023年5月,52975
category35,2023年5月,52471
category173,2023年5月,51378
category143,2023年5月,50374
category85,2023年5月,50106
category8,2023年5月,49028
category198,2023年5月,47663
category28,2023年5月,47252
category51,2023年5月,47026
category241,2023年5月,46686
category321,2023年5月,45707
category49,2023年5月,44133
category324,2023年5月,42450
category139,2023年5月,41658
category256,2023年5月,40288
category296,2023年5月,39897
category114,2023年5月,37543
category255,2023年5月,37469
category13,2023年5月,37256
category233,2023年5月,36476
category118,2023年5月,36407
category258,2023年5月,35378
category194,2023年5月,34394
category331,2023年5月,33635
category71,2023年5月,33293
category163,2023年5月,31322
category215,2023年5月,29379
category27,2023年5月,28666
category295,2023年5月,28067
category63,2023年5月,28044
category88,2023年5月,27423
category229,2023年5月,25861
category105,2023年5月,25717
category94,2023年5月,24999
category140,2023年5月,24942
category239,2023年5月,24181
category70,2023年5月,22882
category43,2023年5月,22737
category300,2023年5月,22360
category257,2023年5月,20626
category228,2023年5月,20073
category156,2023年5月,19758
category268,2023年5月,19104
category318,2023年5月,18951
category205,2023年5月,18034
category227,2023年5月,17816
category261,2023年5月,17483
category108,2023年5月,16725
category123,2023年5月,16321
category127,2023年5月,16023
category271,2023年5月,15606
category74,2023年5月,15584
category59,2023年5月,14941
category178,2023年5月,14912
category53,2023年5月,14564
category116,2023年5月,14171
category252,2023年5月,14041
category214,2023年5月,13924
category75,2023年5月,13546
category238,2023年5月,13226
category311,2023年5月,13202
category157,2023年5月,13060
category204,2023年5月,12883
category25,2023年5月,12360
category176,2023年5月,12198
category18,2023年5月,11451
category284,2023年5月,11442
category189,2023年5月,11130
category264,2023年5月,11080
category78,2023年5月,10848
category90,2023年5月,10664
category34,2023年5月,10535
category91,2023年5月,10240
category100,2023年5月,9951
category64,2023年5月,9856
category52,2023年5月,9713
category172,2023年5月,9500
category22,2023年5月,9400
category305,2023年5月,9199
category14,2023年5月,9154
category272,2023年5月,8996
category246,2023年5月,8436
category110,2023年5月,8228
category158,2023年5月,8189
category211,2023年5月,7962
category218,2023年5月,7874
category3,2023年5月,7583
category320,2023年5月,7541
category145,2023年5月,7526
category302,2023年5月,7426
category76,2023年5月,7251
category11,2023年5月,6936
category202,2023年5月,6846
category4,2023年5月,6809
category277,2023年5月,6727
category1,2023年5月,6422
category174,2023年5月,6255
category111,2023年5月,6075
category333,2023年5月,6002
category222,2023年5月,5730
category117,2023年5月,5689
category224,2023年5月,5433
category217,2023年5月,5421
category201,2023年5月,5337
category19,2023年5月,5134
category39,2023年5月,4816
category312,2023年5月,4791
category212,2023年5月,4786
category230,2023年5月,4786
category147,2023年5月,4781
category270,2023年5月,4769
category98,2023年5月,4573
category155,2023年5月,4532
category125,2023年5月,4148
category177,2023年5月,3881
category168,2023年5月,3734
category306,2023年5月,3705
category81,2023年5月,3667
category101,2023年5月,3631
category231,2023年5月,3214
category290,2023年5月,3120
category113,2023年5月,3040
category119,2023年5月,3040
category67,2023年5月,3010
category347,2023年5月,2954
category150,2023年5月,2941
category133,2023年5月,2769
category120,2023年5月,2760
category23,2023年5月,2687
category162,2023年5月,2659
category199,2023年5月,2629
category144,2023年5月,2609
category234,2023年5月,2532
category265,2023年5月,2432
category289,2023年5月,2293
category112,2023年5月,2225
category182,2023年5月,2127
category344,2023年5月,2114
category99,2023年5月,2081
category340,2023年5月,2069
category126,2023年5月,2007
category309,2023年5月,1956
category330,2023年5月,1939
category92,2023年5月,1905
category278,2023年5月,1884
category301,2023年5月,1882
category269,2023年5月,1751
category175,2023年5月,1661
category179,2023年5月,1570
category148,2023年5月,1491
category131,2023年5月,1488
category298,2023年5月,1412
category207,2023年5月,1310
category96,2023年5月,1309
category68,2023年5月,1308
category132,2023年5月,1289
category220,2023年5月,1284
category106,2023年5月,1236
category69,2023年5月,1225
category291,2023年5月,1146
category221,2023年5月,1130
category9,2023年5月,1110
category310,2023年5月,1097
category206,2023年5月,1059
category57,2023年5月,1056
category41,2023年5月,1026
category314,2023年5月,1007
category180,2023年5月,976
category10,2023年5月,963
category292,2023年5月,947
category66,2023年5月,928
category342,2023年5月,919
category323,2023年5月,888
category142,2023年5月,881
category334,2023年5月,816
category335,2023年5月,790
category319,2023年5月,733
category50,2023年5月,719
category6,2023年5月,694
category36,2023年5月,649
category251,2023年5月,614
category343,2023年5月,611
category350,2023年5月,566
category341,2023年5月,561
category235,2023年5月,537
category149,2023年5月,527
category134,2023年5月,453
category328,2023年5月,435
category181,2023年5月,405
category329,2023年5月,401
category193,2023年5月,347
category244,2023年5月,337
category55,2023年5月,320
category213,2023年5月,303
category349,2023年5月,261
category315,2023年5月,225
category338,2023年5月,188
category170,2023年5月,180
category317,2023年5月,157
category294,2023年5月,150
category219,2023年5月,148
category346,2023年5月,148
category115,2023年5月,138
category31,2023年5月,135
category37,2023年5月,130
category167,2023年5月,123
category210,2023年5月,86
category337,2023年5月,75
category327,2023年5月,74
category83,2023年5月,73
category216,2023年5月,71
category82,2023年5月,68
category187,2023年5月,65
category249,2023年5月,35
category260,2023年5月,35
category274,2023年5月,34
category339,2023年5月,29
category5,2023年5月,28
category159,2023年5月,25
category54,2023年5月,15
category348,2023年5月,8
category7,2023年5月,8
category345,2023年5月,7
category288,2023年5月,5
category332,2023年5月,3
category304,2023年5月,2
category336,2023年5月,1
category326,2023年5月,1
category225,2023年6月,4676058
category84,2023年6月,2913526
category21,2023年6月,2708773
category254,2023年6月,2675098
category42,2023年6月,1808391
category141,2023年6月,1277890
category137,2023年6月,1228225
category2,2023年6月,1223950
category308,2023年6月,1136474
category209,2023年6月,1082572
category20,2023年6月,998721
category164,2023年6月,902611
category40,2023年6月,840585
category197,2023年6月,828850
category276,2023年6月,813532
category65,2023年6月,780094
category60,2023年6月,702849
category102,2023年6月,702408
category279,2023年6月,624793
category243,2023年6月,537836
category263,2023年6月,535916
category87,2023年6月,524962
category130,2023年6月,478360
category245,2023年6月,471092
category104,2023年6月,447620
category109,2023年6月,436790
category259,2023年6月,420015
category166,2023年6月,415544
category30,2023年6月,382503
category153,2023年6月,375739
category237,2023年6月,370230
category79,2023年6月,355053
category48,2023年6月,352067
category280,2023年6月,344781
category283,2023年6月,343098
category313,2023年6月,340130
category226,2023年6月,324197
category266,2023年6月,321537
category86,2023年6月,312809
category95,2023年6月,312524
category195,2023年6月,309631
category183,2023年6月,309461
category223,2023年6月,298804
category185,2023年6月,296732
category44,2023年6月,293967
category61,2023年6月,290319
category186,2023年6月,280435
category32,2023年6月,279942
category188,2023年6月,262725
category242,2023年6月,254362
category299,2023年6月,227752
category15,2023年6月,227671
category77,2023年6月,222482
category89,2023年6月,211673
category200,2023年6月,200514
category97,2023年6月,197663
category58,2023年6月,197643
category169,2023年6月,197194
category196,2023年6月,191849
category262,2023年6月,191040
category250,2023年6月,186386
category124,2023年6月,182624
category285,2023年6月,181772
category286,2023年6月,180584
category203,2023年6月,179799
category191,2023年6月,178510
category24,2023年6月,173477
category17,2023年6月,172457
category282,2023年6月,168591
category240,2023年6月,164765
category129,2023年6月,160529
category128,2023年6月,159945
category139,2023年6月,158324
category325,2023年6月,151895
category47,2023年6月,151795
category62,2023年6月,146222
category151,2023年6月,142904
category161,2023年6月,139717
category316,2023年6月,139592
category248,2023年6月,131476
category35,2023年6月,130378
category287,2023年6月,130141
category29,2023年6月,125996
category165,2023年6月,123688
category253,2023年6月,123649
category154,2023年6月,121397
category152,2023年6月,119770
category190,2023年6月,118111
category72,2023年6月,117986
category307,2023年6月,117695
category303,2023年6月,116331
category247,2023年6月,115852
category12,2023年6月,113440
category208,2023年6月,103070
category103,2023年6月,98836
category121,2023年6月,98387
category135,2023年6月,96619
category16,2023年6月,96316
category122,2023年6月,93559
category275,2023年6月,91494
category232,2023年6月,91354
category93,2023年6月,90567
category192,2023年6月,89782
category107,2023年6月,84554
category273,2023年6月,84527
category229,2023年6月,82186
category80,2023年6月,80878
category146,2023年6月,78093
category281,2023年6月,78040
category198,2023年6月,76661
category194,2023年6月,76216
category73,2023年6月,74595
category173,2023年6月,73984
category236,2023年6月,73465
category33,2023年6月,72271
category56,2023年6月,72023
category8,2023年6月,69979
category184,2023年6月,69376
category38,2023年6月,68186
category297,2023年6月,67172
category293,2023年6月,64674
category26,2023年6月,64346
category45,2023年6月,61470
category46,2023年6月,60974
category136,2023年6月,59578
category160,2023年6月,58785
category241,2023年6月,58737
category138,2023年6月,57631
category171,2023年6月,57597
category321,2023年6月,56722
category143,2023年6月,54864
category85,2023年6月,54018
category322,2023年6月,53939
category331,2023年6月,53239
category51,2023年6月,52321
category71,2023年6月,51016
category233,2023年6月,49797
category28,2023年6月,49449
category53,2023年6月,48933
category49,2023年6月,47642
category324,2023年6月,46572
category296,2023年6月,42678
category118,2023年6月,42465
category258,2023年6月,39874
category256,2023年6月,39102
category239,2023年6月,38465
category215,2023年6月,38129
category13,2023年6月,37452
category59,2023年6月,36813
category255,2023年6月,36665
category114,2023年6月,34523
category88,2023年6月,33848
category70,2023年6月,32964
category94,2023年6月,31735
category27,2023年6月,31229
category228,2023年6月,29342
category63,2023年6月,28624
category43,2023年6月,28473
category295,2023年6月,27947
category238,2023年6月,27917
category140,2023年6月,27074
category163,2023年6月,26946
category267,2023年6月,26361
category202,2023年6月,25646
category300,2023年6月,25062
category156,2023年6月,24413
category252,2023年6月,22257
category257,2023年6月,20884
category271,2023年6月,20609
category5,2023年6月,20534
category123,2023年6月,19439
category205,2023年6月,19361
category261,2023年6月,18833
category284,2023年6月,18082
category227,2023年6月,17984
category268,2023年6月,17949
category78,2023年6月,17926
category178,2023年6月,17379
category108,2023年6月,17154
category127,2023年6月,16873
category157,2023年6月,16863
category176,2023年6月,16708
category74,2023年6月,16644
category189,2023年6月,16360
category264,2023年6月,16293
category116,2023年6月,15649
category214,2023年6月,14405
category318,2023年6月,14071
category172,2023年6月,13778
category204,2023年6月,13490
category145,2023年6月,13484
category25,2023年6月,13088
category100,2023年6月,12817
category246,2023年6月,12076
category18,2023年6月,11575
category34,2023年6月,11277
category309,2023年6月,11097
category22,2023年6月,10837
category90,2023年6月,10414
category64,2023年6月,10303
category234,2023年6月,10192
category105,2023年6月,10027
category52,2023年6月,9761
category75,2023年6月,9667
category222,2023年6月,9421
category272,2023年6月,9399
category277,2023年6月,9149
category76,2023年6月,8727
category14,2023年6月,8477
category3,2023年6月,8477
category201,2023年6月,8211
category217,2023年6月,8205
category218,2023年6月,8139
category4,2023年6月,8053
category265,2023年6月,8029
category110,2023年6月,7975
category158,2023年6月,7933
category211,2023年6月,7627
category11,2023年6月,7600
category305,2023年6月,7463
category111,2023年6月,7360
category212,2023年6月,7216
category320,2023年6月,7037
category131,2023年6月,6982
category311,2023年6月,6862
category342,2023年6月,6657
category91,2023年6月,6612
category177,2023年6月,6433
category39,2023年6月,6237
category1,2023年6月,6156
category117,2023年6月,6031
category333,2023年6月,6002
category330,2023年6月,5939
category312,2023年6月,5863
category224,2023年6月,5815
category98,2023年6月,5785
category302,2023年6月,5735
category174,2023年6月,5421
category147,2023年6月,5372
category101,2023年6月,5223
category270,2023年6月,5145
category347,2023年6月,5033
category150,2023年6月,4992
category81,2023年6月,4855
category125,2023年6月,4832
category19,2023年6月,4725
category144,2023年6月,4441
category112,2023年6月,4422
category207,2023年6月,4344
category230,2023年6月,4261
category291,2023年6月,4233
category155,2023年6月,4091
category41,2023年6月,4021
category168,2023年6月,3833
category231,2023年6月,3810
category133,2023年6月,3543
category306,2023年6月,3531
category290,2023年6月,3473
category301,2023年6月,3425
category199,2023年6月,3388
category92,2023年6月,3128
category126,2023年6月,3078
category269,2023年6月,3011
category344,2023年6月,2958
category113,2023年6月,2935
category120,2023年6月,2687
category23,2023年6月,2662
category289,2023年6月,2629
category340,2023年6月,2504
category292,2023年6月,2374
category99,2023年6月,2266
category278,2023年6月,2209
category180,2023年6月,2169
category175,2023年6月,2087
category182,2023年6月,2067
category106,2023年6月,2012
category220,2023年6月,1849
category319,2023年6月,1731
category119,2023年6月,1687
category334,2023年6月,1687
category314,2023年6月,1556
category298,2023年6月,1549
category67,2023年6月,1483
category179,2023年6月,1481
category148,2023年6月,1411
category350,2023年6月,1357
category162,2023年6月,1321
category69,2023年6月,1306
category251,2023年6月,1262
category221,2023年6月,1246
category68,2023年6月,1188
category57,2023年6月,1181
category9,2023年6月,1177
category206,2023年6月,1069
category132,2023年6月,1021
category142,2023年6月,969
category50,2023年6月,837
category181,2023年6月,825
category10,2023年6月,806
category66,2023年6月,797
category36,2023年6月,780
category341,2023年6月,758
category335,2023年6月,706
category6,2023年6月,691
category149,2023年6月,642
category323,2023年6月,622
category235,2023年6月,553
category326,2023年6月,544
category343,2023年6月,451
category96,2023年6月,444
category329,2023年6月,425
category328,2023年6月,392
category55,2023年6月,373
category37,2023年6月,367
category213,2023年6月,331
category244,2023年6月,330
category193,2023年6月,319
category310,2023年6月,288
category338,2023年6月,201
category134,2023年6月,187
category315,2023年6月,185
category349,2023年6月,168
category216,2023年6月,155
category115,2023年6月,150
category170,2023年6月,145
category346,2023年6月,140
category294,2023年6月,127
category317,2023年6月,127
category219,2023年6月,121
category83,2023年6月,106
category82,2023年6月,101
category210,2023年6月,101
category167,2023年6月,87
category337,2023年6月,73
category187,2023年6月,44
category274,2023年6月,39
category327,2023年6月,39
category31,2023年6月,37
category260,2023年6月,37
category249,2023年6月,33
category339,2023年6月,27
category159,2023年6月,25
category54,2023年6月,9
category348,2023年6月,7
category7,2023年6月,6
category288,2023年6月,4
category332,2023年6月,3
category345,2023年6月,2
category304,2023年6月,2
category336,2023年6月,1
